Family,Relative,Absolute
Bagle,0.6226704496,0.3471859476
Bifrose,0.05960414419,0.05151990394
Hupigon,-0.009059917502,-0.008598338548
Koobface,0.2263593381,0.1845783133
Ldpinch,0.6884377828,0.2406315241
Lmir,0.3606122113,0.206522041
Rbot,-0.0747562166,-0.05632265838
Sdbot,0.05022819267,0.02751631424
Swizzor,0.03207112782,0.03094116062
Vundo,0.027895181,0.02676775077
Zbot,0.1507147253,0.1230265351
Zlob,0.02712996856,0.02587431976
